Item,Calories,Calories_from_Fat,Total_Fat_g,Sat_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g,VitA_pct,VitC_pct,Calcium_pct,Iron_pct
"Egg Whites, Cheddar & Avocado on Skinny Wheat",360,210,23.0,12.0,0.5,50,590,25.0,9.0,1.0,19.0,,,,
Power Protein Wrap,820,460,51.0,14.0,0.0,395,1020,60.0,5.0,4.0,32.0,,,,
Smoked Salmon Wasabi on Skinny Wheat Bagel,400,90,10.0,4.5,0.0,30,910,59.0,4.0,9.0,18.0,,,,
Southwest Egg Wrap,670,290,33.0,10.0,0.0,355,680,67.0,6.0,6.0,27.0,,,,
The Good Egg,470,230,26.0,9.0,0.0,350,700,38.0,3.0,3.0,22.0,,,,
Turkey Club,580,220,25.0,9.0,0.0,100,1700,49.0,2.0,3.0,38.0,,,,
Turkey Club,290,110,13.0,4.5,0.0,50,850,25.0,1.0,2.0,19.0,,,,
Extra Bacon BLT,500,220,24.0,7.0,0.0,45,1450,52.0,1.0,3.0,17.0,,,,
Extra Bacon BLT,250,110,12.0,3.5,0.0,20,730,26.0,0.0,2.0,9.0,,,,
Prime Roast Beef,630,220,25.0,10.0,0.0,75,1510,69.0,1.0,20.0,34.0,,,,
Prime Roast Beef,320,120,13.0,5.0,0.0,40,760,35.0,0.0,10.0,17.0,,,,
Tuna Salad,460,100,11.0,2.0,0.0,65,860,53.0,6.0,6.0,38.0,,,,
Tuna Salad,230,50,5.0,1.0,0.0,30,430,27.0,3.0,3.0,19.0,,,,
Chicken Salad on Semolina,510,110,13.0,2.0,0.0,75,1160,67.0,4.0,5.0,34.0,,,,
Chicken Salad on Semolina,260,60,7.0,1.0,0.0,35,580,34.0,2.0,3.0,17.0,,,,
Chicken Salad on Multigrain,460,110,13.0,2.5,0.0,75,940,55.0,4.0,7.0,32.0,,,,
Toasted Chicken & Avocado,730,310,34.0,7.0,0.0,105,1350,68.0,6.0,5.0,41.0,,,,
Chipotle Turkey & Avocado,770,390,43.0,11.0,0.0,95,1700,59.0,5.0,5.0,38.0,,,,
2 Tomato Caprese,570,250,28.0,8.0,0.0,35,1020,59.0,3.0,6.0,21.0,,,,
Black Bean Chipotle Avocado,740,330,37.0,70.0,420.0,32,1450,81.0,7.0,9.0,29.0,,,,
Newport Turkey,730,290,32.0,12.0,0.0,100,1590,70.0,4.0,23.0,40.0,,,,
Ham & 2 Cheese,570,220,24.0,9.0,0.0,85,1900,55.0,4.0,9.0,32.0,,,,
Classic Grilled Cheese Sandwich,490,210,23.0,14.0,0.0,70,870,46.0,1.0,1.0,24.0,,,,
Country Grilled Chesse Sandwich,550,250,28.0,16.0,0.0,80,1120,48.0,2.0,3.0,27.0,,,,
Cordon Bleu Sandwich,670,210,23.0,8.0,0.0,110,1720,71.0,4.0,10.0,43.0,,,,
Roasted Vegetarian Harvest Hot Wrap,710,270,30.0,6.0,0.0,15,810,92.0,12.0,4.0,18.0,,,,
Teriyaki Steak Harvest Hot Wrap,730,170,19.0,4.5,0.0,70,1010,104.0,12.0,17.0,37.0,,,,
Mayan Chicken Harvest Hot Wrap,670,140,15.0,4.5,0.0,55,1060,96.0,13.0,6.0,36.0,,,,
Chicken Caesar Wrap,590,230,26.0,7.0,0.0,80,830,57.0,3.0,4.0,32.0,,,,
Sweet Turkey Wrap,620,180,20.0,8.0,0.0,80,1480,74.0,11.0,22.0,38.0,,,,
Thai Peanut Chicken,590,150,17.0,3.0,0.0,55,940,80.0,4.0,15.0,30.0,,,,
Napa Chicken Avocado Wrap,610,260,29.0,4.5,0.0,65,650,63.0,6.0,6.0,29.0,,,,
Veggie & Hummus Wrap,580,240,27.0,7.0,0.0,25,940,67.0,13.0,6.0,21.0,,,,
Mayan Chicken Harvest Hot Bowl,550,90,10.0,3.5,0.0,55,870,84.0,7.0,6.0,31.0,,,,
Mediterranean Chicken Harvest Hot Bowl,700,240,27.0,6.0,0.0,90,780,76.0,5.0,4.0,37.0,,,,
Roasted Vegetarian Harvest Hot Bowl,640,290,32.0,6.0,0.0,15,700,75.0,5.0,4.0,12.0,,,,
Teriyaki Steak Harvest Hot Bowl 13.2,700,110,12.0,3.0,0.0,70,690,107.0,6.0,19.0,41.0,,,,
Roasted Potatoes 1 oz.,35,10,1.0,0.0,0.0,0,110,6.0,1.0,0.0,1.0,,,,
Sausage with Peppers and Onions 1 oz.,40,25,2.5,0.5,0.0,5,110,1.0,0.0,0.0,3.0,,,,
Scrambled Eggs 1 oz.,30,15,2.0,0.5,0.0,85,75,1.0,0.0,0.0,3.0,,,,
"Scrambled Eggs, Ham & Cheese 1 oz.",40,20,2.5,1.0,0.0,75,100,1.0,0.0,1.0,3.0,,,,
Warm Apple Bake 1 oz.,80,30,3.0,2.0,0.0,10,90,11.0,0.0,4.0,2.0,,,,
Adobo Chicken,25,5,0.5,0.0,0.0,10,125,1.0,0.0,1.0,4.0,,,,
Asian Rice with Edamame & Carrots,30,5,0.0,0.0,0.0,0,10,6.0,0.0,0.0,1.0,,,,
Beef & Broccoli,40,10,1.5,0.0,0.0,10,110,4.0,0.0,2.0,4.0,,,,
Black Beans & Rice 1 oz.,25,0,0.0,0.0,0.0,0,15,5.0,1.0,0.0,1.0,,,,
Broccoli Chicken Pasta Alfredo,50,15,2.0,1.0,0.0,10,40,5.0,0.0,0.0,2.0,,,,
Brown Rice,30,5,0.0,0.0,0.0,0,15,6.0,0.0,0.0,1.0,,,,
Bruschetta Wings,70,45,5.0,1.0,0.0,20,160,0.0,0.0,0.0,6.0,,,,
Chicken Dumplings,45,5,1.0,0.0,0.0,5,140,7.0,0.0,2.0,2.0,,,,
Chipotle Wings,70,45,5.0,1.5,0.0,20,190,1.0,0.0,1.0,6.0,,,,
Corn Bread,100,45,5.0,1.0,0.0,20,60,13.0,0.0,6.0,1.0,,,,
Honey & Herb Carrots 1 oz. (28 g),25,10,1.5,1.0,0.0,5,30,4.0,1.0,1.0,0.0,,,,
Meatballs in Marinara Sauce with Penne 1 oz. (28 g),50,25,2.5,1.0,0.0,5,105,4.0,1.0,1.0,2.0,,,,
Mediterranean Rice,35,5,0.5,0.0,0.0,0,25,6.0,0.0,0.0,1.0,,,,
Pork Carnitas,45,20,2.5,0.5,0.0,10,110,1.0,0.0,1.0,5.0,,,,
Pulled BBQ Pork,45,10,1.5,0.0,0.0,10,150,4.0,0.0,4.0,4.0,,,,
Roasted Corn & Jalapenos,20,5,0.0,0.0,0.0,0,20,4.0,1.0,2.0,1.0,,,,
Roasted Mediterranean Vegetables,35,15,2.0,0.0,0.0,0,95,4.0,1.0,1.0,1.0,,,,
Sesame Green Beans,20,10,1.0,0.0,0.0,0,55,2.0,1.0,1.0,1.0,,,,
Smothered Beans,30,20,2.0,1.0,0.0,5,105,2.0,0.0,1.0,1.0,,,,
Southwest Wings,70,45,5.0,1.5,0.0,20,170,0.0,0.0,0.0,6.0,,,,
Sweet & Sour Wings,70,40,4.5,1.5,0.0,20,180,1.0,0.0,1.0,6.0,,,,
Tomato Asiago Rice,35,10,1.0,0.5,0.0,0,25,5.0,0.0,0.0,1.0,,,,
Vegetable Lasagna,45,25,2.5,1.5,0.0,10,75,3.0,0.0,1.0,3.0,,,,
Lettuce Blend,5,0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,,,,
spinach,5,0,0.0,0.0,0.0,0,20,1.0,1.0,0.0,1.0,,,,
romaine,5,0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,,,,
Mixed Salad Greens,5,0,0.0,0.0,0.0,0,5,1.0,1.0,0.0,0.0,,,,
Caesar Salad,25,10,1.0,0.0,0.0,0,35,3.0,1.0,0.0,1.0,,,,
Vegetarian Deluxe Salad,20,10,1.0,0.0,0.0,0,60,2.0,1.0,1.0,1.0,,,,
Southwest Chicken Salad,20,5,0.5,0.0,0.0,5,20,2.0,1.0,1.0,2.0,,,,
Harvest Turkey Salad,35,15,1.5,0.0,0.0,5,70,3.0,0.0,2.0,3.0,,,,
Chicken Salad,45,20,2.5,0.0,0.0,20,110,1.0,0.0,0.0,6.0,,,,
Mediterranean Pasta Salad,50,20,2.0,0.0,0.0,0,50,7.0,1.0,1.0,2.0,,,,
Black Bean & Corn Salad,35,10,1.5,0.0,0.0,0,50,4.0,1.0,1.0,2.0,,,,
Chickpeas & Tomatoes Salad,35,20,2.0,0.0,0.0,0,100,3.0,1.0,1.0,1.0,,,,
Pesto Tortellini,60,35,3.5,0.0,0.0,5,55,5.0,0.0,0.0,1.0,,,,
Carrot & Raisin Salad,80,60,7.0,1.0,0.0,5,55,5.0,0.0,3.0,0.0,,,,
Tuna,35,0,0.0,0.0,0.0,15,40,1.0,0.0,0.0,9.0,,,,
Sliced Chicken,35,5,0.5,0.0,0.0,20,50,1.0,0.0,0.0,7.0,,,,
Turkey,30,5,0.0,0.0,0.0,15,200,0.0,0.0,0.0,7.0,,,,
Carrots,10,0,0.0,0.0,0.0,0,20,3.0,1.0,1.0,0.0,,,,
Tomatoes,5,0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,0.0,,,,
Cucumber,5,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,,,,
Corn,20,5,0.0,0.0,0.0,0,0,4.0,1.0,2.0,1.0,,,,
Edamame,40,15,2.0,0.0,0.0,0,0,3.0,1.0,1.0,4.0,,,,
Kalamata Olives,70,50,6.0,0.5,0.0,0,390,4.0,1.0,0.0,1.0,,,,
Black Beans,30,0,0.0,0.0,0.0,0,30,5.0,1.0,0.0,2.0,,,,
Chickpeas,20,5,0.0,0.0,0.0,0,30,3.0,1.0,1.0,1.0,,,,
onion,10,0,0.0,0.0,0.0,0,0,3.0,0.0,1.0,0.0,,,,
Pickled Beets,20,0,0.0,0.0,0.0,0,75,5.0,0.0,4.0,0.0,,,,
Hard Boiled Eggs,45,25,3.0,1.0,0.0,105,35,0.0,0.0,0.0,4.0,,,,
Red Pepper,10,0,0.0,0.0,0.0,0,115,2.0,1.0,1.0,0.0,,,,
Grapes,20,0,0.0,0.0,0.0,0,0,5.0,0.0,4.0,0.0,,,,
Mozzarella,70,45,5.0,3.5,0.0,20,70,0.0,0.0,0.0,6.0,,,,
Apple Smoked Bacon,130,90,10.0,3.5,0.0,15,660,0.0,0.0,0.0,9.0,,,,
Cantaloupe,10,0,0.0,0.0,0.0,0,0,2.0,0.0,2.0,0.0,,,,
Asiago,110,70,8.0,5.0,0.0,25,170,1.0,0.0,0.0,7.0,,,,
Feta,100,70,8.0,4.5,0.0,25,250,1.0,0.0,0.0,6.0,,,,
Greek Vanilla Yogurt,20,0,0.0,0.0,0.0,0,10,3.0,0.0,3.0,2.0,,,,
honeydew,10,0,0.0,0.0,0.0,0,5,3.0,0.0,2.0,0.0,,,,
Cottage Cheese,30,10,1.5,1.0,0.0,5,110,1.0,0.0,1.0,3.0,,,,
Grapefruit Sections,10,0,0.0,0.0,0.0,0,0,3.0,1.0,2.0,0.0,,,,
Croutons,90,20,2.5,0.0,0.0,0,140,14.0,1.0,1.0,3.0,,,,
Wontons,140,60,6.0,1.0,0.0,0,150,18.0,1.0,1.0,3.0,,,,
Sweetened Dried Cranberries,100,0,0.0,,0.0,0,0,24.0,1.0,19.0,0.0,,,,
Walnuts,190,170,19.0,1.5,0.0,0,0,1.0,3.0,1.0,4.0,,,,
Almonds,170,130,14.0,1.0,0.0,0,0,6.0,4.0,1.0,6.0,,,,
Classic Oatmeal,340,60,6.0,1.0,0.0,0,15,63.0,9.0,1.0,13.0,,,,
Classic Oatmeal,260,45,5.0,0.5,0.0,0,10,47.0,6.0,1.0,10.0,,,,
Classic Oatmeal,170,30,3.0,0.0,0.0,0,5,32.0,4.0,1.0,6.0,,,,
Baked! Lay's Original Potato Crisps,130,15,2.0,0.0,0.0,0,200,26.0,2.0,2.0,2.0,,,,
Bon To Go - Caprese Chicken,330,170,19.0,6.0,0.0,70,680,16.0,3.0,8.0,24.0,,,,
Bon To Go - Cheese & Fruit,390,220,25.0,14.0,0.5,70,590,31.0,2.0,16.0,14.0,,,,
"Bon To Go - Fruit, Eggs & Nuts",500,310,35.0,10.0,0.0,195,320,30.0,5.0,19.0,21.0,,,,
Bon To Go - Hard Boiled Eggs,140,80,9.0,3.0,0.0,330,110,1.0,0.0,1.0,11.0,,,,
Bon To Go - Hummus,300,130,14.0,1.5,0.0,0,670,37.0,4.0,5.0,8.0,,,,
Bon To Go - Smoked Salmon,200,90,10.0,4.0,0.0,30,520,18.0,2.0,5.0,11.0,,,,
